BarnName,Index,DHIID,RFID,AgeMons_Ref,HfrMerit$,DateDue,SireCode,MGSCode,DamName,DamPTAM,DamPTAF,DamPTAP,DamMerit$,SireMerit$
8684 ,8684,000000000,,3,,,HB,1HO5045,6627,,,,,
8700 ,8700,000000000,,3,,,751HO9554,1HO9354,6878,,,,,
8720 ,8720,000000000,,2,,,751HO9554,501HO7169,6995,,,,,
8723 ,8723,000000000,,2,,,751HO9554,1HO7624,6954,,,,,
8725G ,8725,000000000,,2,,,HB,1HO9362,6831,,,,,
8726G ,8726,000000000,,2,,,HB,1HO5045,6690,,,,,
8730 ,8730,000000000,,2,,,HB,1HO6721,6920,,,,,
8735 ,8735,000000000,,2,,,751HO9554,1HO6721,6983,,,,,
8738 ,8738,000000000,,2,,,HB,1HO9356,6702,,,,,
8746 ,8746,000000000,,2,,,751HO9301,501HO7169,7033,,,,,
8762 ,8762,000000000,,1,,,751HO9554,1HO9446,6996,,,,,
8763 ,8763,000000000,,1,,,751HO9554,1HO9446,6996,,,,,
8773G ,8773,000000000,,1,,,HB,29HO10124,6928,,,,,
8775 ,8775,000000000,,1,,,751HO9554,1HO9397,7053,,,,,
8776G ,8776,000000000,,1,,,HB,1HO7290,6614,,,,,
8801G ,8801,000000000,,1,,,HB,7HO7482,7016,,,,,
8810 ,8810,000000000,,1,,,751HO9554,1HO9444,7083,,,,,
8831G ,8831,000000000,,,,,HB,1HO7290,6922,,,,,
8835 ,8835,000000000,,,,,HB,501HO7290,7025,,,,,
